parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.csv.CSVRecord,17,84,17,67,0.09453781512605042,0.18907563025210083,0.876649454962708,0.9411764705882353,0.15600286890092677
org.apache.commons.csv.Utils,1,8,0,8,1.0,0.0,0.0,1.0,0.0
org.apache.commons.csv.Lexer,19,105,26,79,0.67468671679198,0.65062656641604,0.9278388278388279,0.6842105263157895,0.41304187787765145
org.apache.commons.csv.CSVFormat,75,223,52,171,0.18080717488789239,0.36161434977578477,0.9838403425847372,0.92,0.3273091229056079
org.apache.commons.csv.ExtendedBufferedReader,9,110,5,105,0.5343434343434343,0.9313131313131313,0.9164303586321935,1.0,0.853483626928164
org.apache.commons.csv.Assertions,1,157,2,155,1.0,0.0,0.0,1.0,0.0
org.apache.commons.csv.CSVParser,20,86,63,23,0.3354651162790698,0.6709302325581395,0.9140902872777018,0.9,0.5519617281201286
org.apache.commons.csv.QuoteMode,2,1,0,1,0.5,1.0,0,1.0,0.0
org.apache.commons.csv.TokenMatchers,7,29,4,25,0.5467980295566502,0.9064039408866995,0.5788177339901478,0.8571428571428571,0.44969372155181075
org.apache.commons.csv.CSVPrinter,11,73,67,6,0.22914072229140722,0.4582814445828145,0.7469558599695586,1.0,0.34231601054644784
org.apache.commons.csv.Token,14,107,4,103,0.1542056074766355,0.30841121495327095,0.4538882031387762,0.5714285714285714,0.07999097839027829
org.apache.commons.csv.Constants,,,,,,,,,
